scheme,trait_a,trait_b,pair_key,cos,cos_abs,alpha,coh_steered,regime,mean_single_abs,max_single_abs,min_single_abs,mechanical_push,sem_sim,delta_a_joint,delta_b_joint,delta_a_single,delta_b_single,supp_signed_a,supp_signed_b,supp_mean_signed,supp_min_signed,mean_joint_abs
normFalse,evil,power_seeking,evil|power_seeking,0.4793,0.4793,4.0,90.77,mixed,34.975,57.48,12.47,5.9172,0.3636772274612107,0.54,-7.58,57.48,-12.47,-56.94,4.890000000000001,-26.025,-56.94,4.0600000000000005
normFalse,formality,hallucinating,formality|hallucinating,0.1033,0.1033,4.0,61.87,mixed,20.47,34.02,6.92,4.4132,0.2226746986620209,4.28,58.93,6.92,34.02,-2.6399999999999997,24.909999999999997,11.134999999999998,-2.6399999999999997,31.605
normFalse,formality,humorous,formality|humorous,-0.5225,0.5225,4.0,86.22,suppressive,38.74,72.45,5.03,1.91,0.4142879153442708,0.16,-0.11,5.03,72.45,-4.87,-72.56,-38.715,-72.56,0.135
normFalse,formality,impolite,formality|impolite,-0.23,0.23,4.0,77.12,suppressive,31.55,58.54,4.56,3.08,0.323986259512425,0.8,10.35,4.56,58.54,-3.76,-48.19,-25.974999999999998,-48.19,5.575
normFalse,formality,power_seeking,formality|power_seeking,0.1832,0.1832,4.0,95.96,additive,7.975,10.76,5.19,4.7328,0.2350597184712459,5.08,-12.59,5.19,-10.76,-0.11000000000000032,-1.83,-0.9700000000000002,-1.83,8.835
normFalse,formality,sycophantic,formality|sycophantic,-0.1252,0.1252,4.0,70.57,dominant,34.2,63.52,4.88,3.4992,0.2730349653806381,1.0,48.84,4.88,63.52,-3.88,-14.68,-9.28,-14.68,24.92
normFalse,hallucinating,impolite,hallucinating|impolite,-0.0508,0.0508,4.0,31.77,emergent,40.209999999999994,46.48,33.94,3.7968,0.1855642810970446,68.2,69.96,33.94,46.48,34.260000000000005,23.479999999999997,28.87,23.479999999999997,69.08
normFalse,hallucinating,power_seeking,hallucinating|power_seeking,0.3026,0.3026,4.0,91.41,mixed,28.02,45.36,10.68,5.2104,0.2047788953116482,14.54,-10.69,45.36,-10.68,-30.82,-0.009999999999999787,-15.415,-30.82,12.614999999999998
normFalse,hallucinating,sycophantic,hallucinating|sycophantic,0.247,0.247,4.0,45.15,emergent,39.07,50.53,27.61,4.9879999999999995,0.3180949579651109,68.9,83.44,27.61,50.53,41.290000000000006,32.91,37.1,32.91,76.17
normFalse,humorous,power_seeking,humorous|power_seeking,0.0727,0.0727,4.0,69.51,additive,41.605,74.91,8.3,4.2908,0.1909706317769505,55.76,-8.61,74.91,-8.3,-19.15,-0.3099999999999987,-9.729999999999999,-19.15,32.185
normFalse,impolite,power_seeking,impolite|power_seeking,0.0946,0.0946,4.0,71.52,mixed,33.28,58.64,7.92,4.3784,0.2347025517270571,37.26,-5.99,58.64,-7.92,-21.380000000000003,1.9299999999999997,-9.725000000000001,-21.380000000000003,21.625
normFalse,impolite,sycophantic,impolite|sycophantic,0.2889,0.2889,4.0,33.47,mixed,59.59,61.39,57.79,5.1556,0.3696551558834132,84.8,39.0,61.39,57.79,23.409999999999997,-18.79,2.3099999999999987,-18.79,61.9
normFalse,power_seeking,sycophantic,power_seeking|sycophantic,0.1782,0.1782,4.0,94.57,mixed,36.925,65.62,8.23,4.7128,0.3004884372864142,-7.77,43.06,-8.23,65.62,0.46000000000000085,-22.560000000000002,-11.05,-22.560000000000002,25.415
normTrue,apathetic,confidence,apathetic|confidence,0.0143,0.0143,4.5,79.8,dominant,31.615,41.36,21.87,3.2046509170266892,0.2401042572847261,33.25,4.61,41.36,21.87,-8.11,-17.26,-12.685,-17.26,18.93
normTrue,apathetic,evil,apathetic|evil,0.2578,0.2578,4.5,50.35,dominant,54.489999999999995,63.48,45.5,3.5686447007232314,0.3214750448462616,58.34,13.79,45.5,63.48,12.840000000000003,-49.69,-18.424999999999997,-49.69,36.065
normTrue,apathetic,formality,apathetic|formality,0.015,0.015,4.5,89.0,mixed,18.41,30.64,6.18,3.2057565409743765,0.2463475771338999,44.98,3.0,30.64,6.18,14.339999999999996,-3.1799999999999997,5.579999999999998,-3.1799999999999997,23.99
normTrue,apathetic,hallucinating,apathetic|hallucinating,-0.1642,0.1642,4.5,69.54,additive,42.705,47.25,38.16,2.9090333446009176,0.1981125750075286,28.98,43.24,38.16,47.25,-9.179999999999996,-4.009999999999998,-6.594999999999997,-9.179999999999996,36.11
normTrue,apathetic,humorous,apathetic|humorous,0.1923,0.1923,4.5,49.15,mixed,54.705,78.57,30.84,3.4744837746059485,0.2325887551349567,60.36,44.51,30.84,78.57,29.52,-34.059999999999995,-2.269999999999998,-34.059999999999995,52.435
normTrue,apathetic,impolite,apathetic|impolite,0.6948,0.6948,4.5,55.92,mixed,53.78,72.44,35.12,4.14244493023142,0.4698805377003365,55.51,51.16,35.12,72.44,20.39,-21.28,-0.4450000000000003,-21.28,53.334999999999994
normTrue,apathetic,sycophantic,apathetic|sycophantic,0.0503,0.0503,4.5,65.5,mixed,61.03,79.85,42.21,3.261025528878914,0.3440802332491053,35.79,24.42,42.21,79.85,-6.420000000000002,-55.42999999999999,-30.924999999999997,-55.42999999999999,30.105
normTrue,confidence,evil,confidence|evil,0.2294,0.2294,4.5,63.91,mixed,39.305,53.33,25.28,3.5281262732504346,0.2091840045848018,9.52,30.13,25.28,53.33,-15.760000000000002,-23.2,-19.48,-23.2,19.825
normTrue,confidence,formality,confidence|formality,0.2262,0.2262,4.5,92.13,mixed,11.545,18.8,4.29,3.523531609053621,0.3983459333841723,12.28,3.42,18.8,4.29,-6.520000000000001,-0.8700000000000001,-3.6950000000000007,-6.520000000000001,7.85
normTrue,confidence,hallucinating,confidence|hallucinating,0.27,0.27,4.5,81.24,additive,30.630000000000003,37.53,23.73,3.585909926364576,0.2519010909257566,21.42,38.87,23.73,37.53,-2.3099999999999987,1.3399999999999963,-0.4850000000000012,-2.3099999999999987,30.145
normTrue,confidence,humorous,confidence|humorous,-0.0802,0.0802,4.5,60.65,mixed,48.25,77.56,18.94,3.051716729973475,0.2414996680675673,-9.97,47.61,18.94,77.56,-28.910000000000004,-29.950000000000003,-29.430000000000003,-29.950000000000003,28.79
normTrue,confidence,impolite,confidence|impolite,0.1573,0.1573,4.5,67.26,suppressive,46.400000000000006,72.9,19.9,3.4231071411803633,0.2681074093085094,-2.51,35.29,19.9,72.9,-22.409999999999997,-37.61000000000001,-30.01,-37.61000000000001,18.9
normTrue,confidence,sycophantic,confidence|sycophantic,0.3546,0.3546,4.5,84.42,additive,56.855,80.47,33.24,3.703420716040779,0.274089006426584,33.88,72.78,33.24,80.47,0.6400000000000006,-7.689999999999998,-3.5249999999999986,-7.689999999999998,53.33
normTrue,evil,formality,evil|formality,-0.1059,0.1059,4.5,77.09,suppressive,34.225,64.39,4.06,3.0087808993012435,0.1956635933851903,6.47,-1.39,64.39,4.06,-57.92,-5.449999999999999,-31.685000000000002,-57.92,3.93
normTrue,evil,hallucinating,evil|hallucinating,0.2708,0.2708,4.5,56.7,mixed,42.895,46.96,38.83,3.587039169008334,0.2285020352777278,30.84,63.42,38.83,46.96,-7.989999999999998,16.46,4.235000000000001,-7.989999999999998,47.13
normTrue,evil,humorous,evil|humorous,0.3685,0.3685,4.5,40.55,dominant,63.195,76.5,49.89,3.722373234913447,0.2435391902415376,11.58,67.25,49.89,76.5,-38.31,-9.25,-23.78,-38.31,39.415
normTrue,evil,impolite,evil|impolite,0.3995,0.3995,4.5,43.23,mixed,60.39,67.07,53.71,3.764297743271645,0.3971123285016625,25.53,76.28,53.71,67.07,-28.18,9.210000000000008,-9.484999999999996,-28.18,50.905
normTrue,evil,sycophantic,evil|sycophantic,0.4184,0.4184,4.5,59.26,mixed,62.715,73.38,52.05,3.789630588856914,0.21833374402854,28.44,61.04,52.05,73.38,-23.609999999999996,-12.339999999999996,-17.974999999999994,-23.609999999999996,44.74
normTrue,formality,hallucinating,formality|hallucinating,0.1033,0.1033,4.5,83.29,mixed,27.729999999999997,48.44,7.02,3.342291504342492,0.2226746986620209,5.95,29.6,7.02,48.44,-1.0699999999999994,-18.839999999999996,-9.954999999999998,-18.839999999999996,17.775000000000002
normTrue,formality,humorous,formality|humorous,-0.5225,0.5225,4.5,73.66,suppressive,38.18,72.02,4.34,2.1987922821403574,0.4142879153442708,-3.98,0.43,4.34,72.02,-8.32,-71.58999999999999,-39.955,-71.58999999999999,2.205
normTrue,formality,impolite,formality|impolite,-0.23,0.23,4.5,81.38,suppressive,40.05,73.71,6.39,2.792176570347943,0.323986259512425,2.87,11.24,6.39,73.71,-3.5199999999999996,-62.46999999999999,-32.995,-62.46999999999999,7.055
normTrue,formality,sycophantic,formality|sycophantic,-0.1252,0.1252,4.5,84.61,mixed,37.71,70.87,4.55,2.976130037481562,0.2730349653806381,2.66,37.15,4.55,70.87,-1.8899999999999997,-33.720000000000006,-17.805000000000003,-33.720000000000006,19.905
normTrue,hallucinating,humorous,hallucinating|humorous,0.1311,0.1311,4.5,48.93,mixed,52.425,62.54,42.31,3.384137630179955,0.1851123623773664,55.14,66.13,42.31,62.54,12.829999999999998,3.5899999999999963,8.209999999999997,3.5899999999999963,60.635
normTrue,hallucinating,impolite,hallucinating|impolite,-0.0508,0.0508,4.5,52.69,additive,48.185,53.1,43.27,3.1001048369369704,0.1855642810970446,52.82,58.02,43.27,53.1,9.549999999999997,4.920000000000002,7.234999999999999,4.920000000000002,55.42
normTrue,hallucinating,sycophantic,hallucinating|sycophantic,0.247,0.247,4.5,74.49,additive,46.895,57.58,36.21,3.553290728324942,0.3180949579651109,46.33,64.75,36.21,57.58,10.119999999999997,7.170000000000002,8.645,7.170000000000002,55.54
normTrue,humorous,impolite,humorous|impolite,0.4368,0.4368,4.5,42.96,additive,71.33,80.38,62.28,3.8141316180750766,0.24185508361201,65.59,72.96,80.38,62.28,-14.789999999999992,10.679999999999993,-2.0549999999999997,-14.789999999999992,69.275
normTrue,humorous,sycophantic,humorous|sycophantic,0.3787,0.3787,4.5,59.16,additive,73.845,74.86,72.83,3.7362196803721273,0.2109666266769492,76.25,73.92,74.86,72.83,1.3900000000000006,1.0900000000000034,1.240000000000002,1.0900000000000034,75.08500000000001
normTrue,impolite,sycophantic,impolite|sycophantic,0.2889,0.2889,4.5,56.02,mixed,72.995,76.12,69.87,3.612493944631603,0.3696551558834132,74.59,45.19,69.87,76.12,4.719999999999999,-30.930000000000007,-13.105000000000004,-30.930000000000007,59.89
per_axis,apathetic,confidence,apathetic|confidence,0.0143,0.0143,4.5,50.01,dominant,32.265,41.9,22.63,4.5,0.2401042572847261,61.03,-16.05,41.9,22.63,19.130000000000003,-38.68,-9.774999999999999,-38.68,38.54
per_axis,apathetic,evil,apathetic|evil,0.2578,0.2578,4.5,37.53,mixed,56.955,68.57,45.34,4.5,0.3214750448462616,70.04,22.11,45.34,68.57,24.700000000000003,-46.459999999999994,-10.879999999999995,-46.459999999999994,46.075
per_axis,apathetic,formality,apathetic|formality,0.015,0.015,4.5,74.36,dominant,21.06,35.44,6.68,4.5,0.2463475771338999,69.08,1.34,35.44,6.68,33.64,-5.34,14.15,-5.34,35.21
per_axis,apathetic,humorous,apathetic|humorous,0.1923,0.1923,4.5,32.51,mixed,51.86,75.36,28.36,4.5,0.2325887551349567,74.6,49.84,28.36,75.36,46.239999999999995,-25.519999999999996,10.36,-25.519999999999996,62.22
per_axis,apathetic,impolite,apathetic|impolite,0.6948,0.6948,4.5,48.75,mixed,54.14,73.2,35.08,4.5,0.4698805377003365,62.99,60.12,35.08,73.2,27.910000000000004,-13.080000000000005,7.414999999999999,-13.080000000000005,61.555
per_axis,apathetic,sycophantic,apathetic|sycophantic,0.0503,0.0503,4.5,39.18,mixed,59.69499999999999,77.99,41.4,4.5,0.3440802332491053,66.81,33.72,41.4,77.99,25.410000000000004,-44.269999999999996,-9.429999999999996,-44.269999999999996,50.265
per_axis,confidence,evil,confidence|evil,0.2294,0.2294,4.5,42.8,dominant,35.595,48.5,22.69,4.5,0.2091840045848018,-12.69,55.4,22.69,48.5,-35.38,6.899999999999999,-14.240000000000002,-35.38,34.045
per_axis,confidence,formality,confidence|formality,0.2262,0.2262,4.5,83.3,mixed,11.955,19.55,4.36,4.5,0.3983459333841723,8.61,2.53,19.55,4.36,-10.940000000000001,-1.8300000000000005,-6.385000000000001,-10.940000000000001,5.569999999999999
per_axis,confidence,hallucinating,confidence|hallucinating,0.27,0.27,4.5,63.88,mixed,33.43,40.01,26.85,4.5,0.2519010909257566,21.13,57.52,26.85,40.01,-5.720000000000002,17.510000000000005,5.895000000000001,-5.720000000000002,39.325
per_axis,confidence,impolite,confidence|impolite,0.1573,0.1573,4.5,40.26,dominant,44.275000000000006,69.12,19.43,4.5,0.2681074093085094,-23.95,64.21,19.43,69.12,-43.379999999999995,-4.910000000000011,-24.145000000000003,-43.379999999999995,44.08
per_axis,confidence,sycophantic,confidence|sycophantic,0.3546,0.3546,4.5,73.47,additive,55.61,77.94,33.28,4.5,0.274089006426584,37.0,83.61,33.28,77.94,3.719999999999999,5.670000000000002,4.695,3.719999999999999,60.305
per_axis,evil,formality,evil|formality,-0.1059,0.1059,4.5,31.29,suppressive,32.175,59.67,4.68,4.5,0.1956635933851903,22.14,-27.39,59.67,4.68,-37.53,-32.07,-34.8,-37.53,24.765
per_axis,evil,hallucinating,evil|hallucinating,0.2708,0.2708,4.5,37.44,emergent,39.625,43.89,35.36,4.5,0.2285020352777278,48.83,75.86,35.36,43.89,13.469999999999999,31.97,22.72,13.469999999999999,62.345
per_axis,evil,impolite,evil|impolite,0.3995,0.3995,4.5,31.34,additive,62.09,70.51,53.67,4.5,0.3971123285016625,39.63,86.3,53.67,70.51,-14.04,15.789999999999992,0.8749999999999964,-14.04,62.965
per_axis,evil,sycophantic,evil|sycophantic,0.4184,0.4184,4.5,43.1,additive,70.245,81.32,59.17,4.5,0.21833374402854,48.97,62.3,59.17,81.32,-10.200000000000003,-19.019999999999996,-14.61,-19.019999999999996,55.635
per_axis,formality,hallucinating,formality|hallucinating,0.1033,0.1033,4.5,58.74,dominant,24.145,42.8,5.49,4.5,0.2226746986620209,1.34,52.96,5.49,42.8,-4.15,10.160000000000004,3.0050000000000017,-4.15,27.15
per_axis,formality,impolite,formality|impolite,-0.23,0.23,4.5,39.7,suppressive,37.3,69.4,5.2,4.5,0.323986259512425,-9.37,25.41,5.2,69.4,-14.57,-43.99000000000001,-29.280000000000005,-43.99000000000001,17.39
per_axis,formality,sycophantic,formality|sycophantic,-0.1252,0.1252,4.5,37.14,dominant,37.809999999999995,71.63,3.99,4.5,0.2730349653806381,-10.15,66.88,3.99,71.63,-14.14,-4.75,-9.445,-14.14,38.515
per_axis,hallucinating,sycophantic,hallucinating|sycophantic,0.247,0.247,4.5,55.18,emergent,49.25,55.53,42.97,4.5,0.3180949579651109,64.11,79.99,42.97,55.53,21.14,24.459999999999994,22.799999999999997,21.14,72.05
per_axis,humorous,impolite,humorous|impolite,0.4368,0.4368,4.5,32.07,additive,71.905,79.09,64.72,4.5,0.24185508361201,68.17,78.38,79.09,64.72,-10.920000000000002,13.659999999999997,1.3699999999999974,-10.920000000000002,73.275
per_axis,humorous,sycophantic,humorous|sycophantic,0.3787,0.3787,4.5,41.66,additive,70.29499999999999,75.21,65.38,4.5,0.2109666266769492,76.26,76.41,75.21,65.38,1.0500000000000114,11.030000000000001,6.040000000000006,1.0500000000000114,76.33500000000001
per_axis,impolite,sycophantic,impolite|sycophantic,0.2889,0.2889,4.5,42.32,mixed,71.195,75.1,67.29,4.5,0.3696551558834132,85.02,43.13,67.29,75.1,17.72999999999999,-31.96999999999999,-7.120000000000001,-31.96999999999999,64.075
