pair_id,behaviour_index,trait_i,trait_j,regime,cosine,delta,l_div,max_diff
26,0,hallucinating,humorous,emergent,0.13108444213867188,0.4766514757903498,32.0,1.5481906448304654
26,1,hallucinating,humorous,emergent,0.13108444213867188,2.0649867576733234,17.0,3.1830323052406317
27,0,hallucinating,impolite,emergent,-0.050825562328100204,0.3593249090458265,,0.7691327619552606
27,1,hallucinating,impolite,emergent,-0.050825562328100204,1.0164228921756147,22.0,2.0916326653957364
28,0,hallucinating,power_seeking,mixed,0.30262523889541626,2.6717320793101678,18.0,3.503635396957397
28,1,hallucinating,power_seeking,mixed,0.30262523889541626,1.6522464051842691,18.0,2.9540471076965336
29,0,hallucinating,sycophantic,emergent,0.24702513217926025,1.230256996372482,18.0,1.6026235605031252
29,1,hallucinating,sycophantic,emergent,0.24702513217926025,2.012733363628413,17.0,2.366650919914245
30,0,humorous,impolite,mixed,0.4367758333683014,2.3887099648453294,18.0,3.7293249177932744
30,1,humorous,impolite,mixed,0.4367758333683014,3.9283884501643476,17.0,5.086378834247588
31,0,humorous,power_seeking,additive,0.07266133278608322,1.1864508533850313,21.0,1.8808344793319707
31,1,humorous,power_seeking,additive,0.07266133278608322,0.30209548790939145,32.0,2.1468204450607296
32,0,humorous,sycophantic,mixed,0.3787480294704437,1.9884178396128118,18.0,2.8839394235610953
32,1,humorous,sycophantic,mixed,0.3787480294704437,2.065382457184892,18.0,2.6685200095176693
33,0,impolite,power_seeking,mixed,0.09463255107402802,0.7945105043239892,26.0,1.6990502214431764
33,1,impolite,power_seeking,mixed,0.09463255107402802,0.2309173597279005,32.0,1.640560941696167
34,0,impolite,sycophantic,mixed,0.28893473744392395,2.568176507670432,18.0,3.348801395893097
34,1,impolite,sycophantic,mixed,0.28893473744392395,1.6299370962755346,18.0,2.5102779769897454
35,0,power_seeking,sycophantic,mixed,0.17819258570671082,0.48172164910938586,32.0,1.7765714216232293
35,1,power_seeking,sycophantic,mixed,0.17819258570671082,1.7985756089782807,18.0,3.244046995639801
